Up	Down	Front	Back	Left	Right	AlgoRep
GREEN,RED,WHITE,GREEN,YELLOW,BLUE,GREEN,BLUE,GREEN,	ORANGE,BLUE,YELLOW,ORANGE,WHITE,ORANGE,GREEN,YELLOW,ORANGE,	WHITE,ORANGE,ORANGE,WHITE,BLUE,WHITE,WHITE,WHITE,RED,	BLUE,BLUE,YELLOW,GREEN,GREEN,WHITE,BLUE,RED,ORANGE,	RED,YELLOW,RED,ORANGE,ORANGE,RED,WHITE,GREEN,BLUE,	YELLOW,YELLOW,RED,GREEN,RED,RED,BLUE,YELLOW,YELLOW,	BRDBUFBFBUURBRRFUUDLLDFDDDRLFULDLBULRURLLRDBFFFUBBDFRL
GREEN,RED,GREEN,BLUE,YELLOW,YELLOW,RED,GREEN,BLUE,	YELLOW,WHITE,WHITE,ORANGE,WHITE,RED,YELLOW,GREEN,BLUE,	BLUE,RED,WHITE,BLUE,BLUE,GREEN,GREEN,ORANGE,RED,	ORANGE,BLUE,YELLOW,GREEN,GREEN,ORANGE,ORANGE,WHITE,BLUE,	RED,YELLOW,YELLOW,BLUE,ORANGE,WHITE,ORANGE,YELLOW,ORANGE,	RED,RED,WHITE,YELLOW,RED,ORANGE,GREEN,WHITE,WHITE,	BRBFUURBFRRDURLBDDFRDFFBBLRUDDLDRUBFRUUFLDLULLFUBBLLDF
BLUE,ORANGE,WHITE,RED,YELLOW,GREEN,GREEN,RED,YELLOW,	BLUE,BLUE,WHITE,WHITE,WHITE,YELLOW,YELLOW,ORANGE,RED,	WHITE,BLUE,RED,WHITE,BLUE,YELLOW,YELLOW,YELLOW,GREEN,	BLUE,YELLOW,ORANGE,GREEN,GREEN,BLUE,YELLOW,GREEN,ORANGE,	WHITE,WHITE,RED,ORANGE,ORANGE,BLUE,GREEN,ORANGE,ORANGE,	GREEN,WHITE,RED,GREEN,RED,RED,ORANGE,RED,BLUE,	FLDRUBBRUBDRBRRLRFDFRDFUUUBFFDDDUULRDDRLLFBLLFULBBFUBL
GREEN,BLUE,RED,ORANGE,YELLOW,RED,YELLOW,BLUE,BLUE,	RED,WHITE,ORANGE,BLUE,WHITE,YELLOW,RED,GREEN,RED,	ORANGE,ORANGE,YELLOW,WHITE,BLUE,RED,YELLOW,ORANGE,BLUE,	YELLOW,WHITE,WHITE,WHITE,GREEN,YELLOW,BLUE,YELLOW,GREEN,	ORANGE,GREEN,GREEN,RED,ORANGE,GREEN,WHITE,YELLOW,BLUE,	ORANGE,BLUE,GREEN,GREEN,RED,RED,WHITE,ORANGE,WHITE,	BFRLURUFFLFBBRRDLDLLUDFRULFRDLFDURBRLBBRLBDUFUDDDBUFUB
GREEN,WHITE,BLUE,GREEN,YELLOW,YELLOW,BLUE,WHITE,ORANGE,	ORANGE,GREEN,YELLOW,WHITE,WHITE,RED,WHITE,ORANGE,GREEN,	WHITE,GREEN,BLUE,ORANGE,BLUE,WHITE,YELLOW,YELLOW,RED,	RED,BLUE,RED,ORANGE,GREEN,RED,YELLOW,GREEN,GREEN,	WHITE,RED,ORANGE,BLUE,ORANGE,BLUE,ORANGE,RED,GREEN,	YELLOW,BLUE,WHITE,ORANGE,RED,YELLOW,BLUE,YELLOW,RED,	BDFBUUFDLUFDLRUFURDBFLFDUURLBUDDRDLBDRLFLFLRBRFRLBRUBB
BLUE,WHITE,ORANGE,GREEN,YELLOW,GREEN,RED,ORANGE,YELLOW,	WHITE,BLUE,BLUE,RED,WHITE,BLUE,WHITE,ORANGE,ORANGE,	WHITE,YELLOW,RED,BLUE,BLUE,ORANGE,ORANGE,WHITE,YELLOW,	YELLOW,GREEN,ORANGE,RED,GREEN,WHITE,YELLOW,BLUE,RED,	WHITE,ORANGE,BLUE,RED,ORANGE,YELLOW,GREEN,GREEN,GREEN,	GREEN,YELLOW,BLUE,WHITE,RED,YELLOW,RED,RED,GREEN,	FDLBUBRLUBUFDRURRBDURFFLLDUDFFRDFDLLDLFRLUBBBUBLRBDUFR
GREEN,GREEN,BLUE,RED,YELLOW,RED,WHITE,WHITE,ORANGE,	ORANGE,GREEN,ORANGE,YELLOW,WHITE,GREEN,RED,YELLOW,ORANGE,	BLUE,ORANGE,YELLOW,WHITE,BLUE,RED,BLUE,WHITE,BLUE,	YELLOW,RED,RED,ORANGE,GREEN,BLUE,GREEN,GREEN,YELLOW,	WHITE,YELLOW,RED,YELLOW,ORANGE,BLUE,GREEN,ORANGE,YELLOW,	GREEN,BLUE,RED,WHITE,RED,BLUE,WHITE,ORANGE,WHITE,	BBFRURDDLBFRDRFDLDFLUDFRFDFLBLUDBRULDURULFBLUURRLBFBBU
GREEN,WHITE,GREEN,GREEN,YELLOW,ORANGE,RED,GREEN,RED,	ORANGE,BLUE,ORANGE,YELLOW,WHITE,RED,RED,BLUE,WHITE,	YELLOW,RED,YELLOW,WHITE,BLUE,YELLOW,WHITE,YELLOW,YELLOW,	YELLOW,GREEN,RED,ORANGE,GREEN,BLUE,ORANGE,WHITE,WHITE,	WHITE,YELLOW,GREEN,ORANGE,ORANGE,RED,BLUE,RED,BLUE,	BLUE,GREEN,ORANGE,ORANGE,RED,WHITE,BLUE,BLUE,GREEN,	BDBBULRBRFBLLRDFFBURUDFUDUULFLUDRRFDDUBLLRFRFUBRLBFLDD
YELLOW,RED,ORANGE,GREEN,YELLOW,ORANGE,WHITE,WHITE,YELLOW,	WHITE,BLUE,WHITE,YELLOW,WHITE,YELLOW,YELLOW,RED,RED,	RED,RED,GREEN,BLUE,BLUE,ORANGE,BLUE,ORANGE,BLUE,	WHITE,BLUE,RED,YELLOW,GREEN,WHITE,YELLOW,GREEN,BLUE,	GREEN,YELLOW,GREEN,GREEN,ORANGE,WHITE,ORANGE,BLUE,ORANGE,	ORANGE,WHITE,GREEN,GREEN,RED,ORANGE,RED,RED,BLUE,	URLBULDDULDBBRLRRFRRBFFLFLFDFDUDUURRBUBBLDLFLDFRUBDUBF
ORANGE,WHITE,YELLOW,BLUE,YELLOW,ORANGE,BLUE,RED,YELLOW,	RED,WHITE,GREEN,GREEN,WHITE,YELLOW,GREEN,BLUE,ORANGE,	WHITE,BLUE,BLUE,RED,BLUE,GREEN,BLUE,GREEN,YELLOW,	GREEN,BLUE,BLUE,ORANGE,GREEN,RED,GREEN,YELLOW,WHITE,	YELLOW,ORANGE,ORANGE,WHITE,ORANGE,YELLOW,RED,RED,WHITE,	RED,WHITE,RED,ORANGE,RED,YELLOW,ORANGE,GREEN,WHITE,	LDUFULFRURDRLRULBDDFFRFBFBURDBBDUBFLULLDLURRDBFFLBRBUD
BLUE,WHITE,GREEN,GREEN,YELLOW,WHITE,YELLOW,GREEN,RED,	YELLOW,BLUE,ORANGE,BLUE,WHITE,YELLOW,RED,ORANGE,YELLOW,	GREEN,YELLOW,BLUE,RED,BLUE,YELLOW,ORANGE,WHITE,WHITE,	YELLOW,ORANGE,ORANGE,RED,GREEN,BLUE,BLUE,GREEN,GREEN,	WHITE,RED,RED,ORANGE,ORANGE,WHITE,WHITE,YELLOW,BLUE,	WHITE,GREEN,ORANGE,ORANGE,RED,BLUE,GREEN,RED,RED,	FDBBUDUBRDBLLRFBRRBUFRFULDDUFLFDURLUDRRLLDDUFULLRBFFBB
YELLOW,BLUE,GREEN,GREEN,YELLOW,RED,ORANGE,ORANGE,GREEN,	ORANGE,WHITE,RED,BLUE,WHITE,ORANGE,YELLOW,GREEN,WHITE,	GREEN,WHITE,YELLOW,WHITE,BLUE,ORANGE,WHITE,GREEN,WHITE,	ORANGE,ORANGE,BLUE,YELLOW,GREEN,YELLOW,GREEN,RED,BLUE,	RED,YELLOW,YELLOW,BLUE,ORANGE,RED,ORANGE,WHITE,BLUE,	RED,BLUE,WHITE,GREEN,RED,RED,BLUE,YELLOW,RED,	UFBBURLLBRFDBRRFURBDUDFLDBDLDRFDLUBDRUUFLRLDFLLFUBUBRF
WHITE,YELLOW,RED,GREEN,YELLOW,ORANGE,RED,YELLOW,ORANGE,	YELLOW,ORANGE,WHITE,WHITE,WHITE,RED,GREEN,GREEN,BLUE,	WHITE,GREEN,YELLOW,ORANGE,BLUE,BLUE,BLUE,GREEN,GREEN,	GREEN,BLUE,BLUE,YELLOW,GREEN,ORANGE,YELLOW,RED,RED,	ORANGE,WHITE,BLUE,WHITE,ORANGE,BLUE,YELLOW,BLUE,RED,	GREEN,YELLOW,WHITE,RED,RED,RED,ORANGE,WHITE,ORANGE,	DURBULRULBUDRRRLDLDBULFFFBBULDDDRBBFLDFDLFUFRBFFUBLURR
YELLOW,BLUE,GREEN,ORANGE,YELLOW,RED,RED,WHITE,ORANGE,	BLUE,BLUE,GREEN,RED,WHITE,YELLOW,BLUE,GREEN,WHITE,	BLUE,GREEN,GREEN,BLUE,BLUE,WHITE,YELLOW,ORANGE,RED,	WHITE,WHITE,GREEN,YELLOW,GREEN,ORANGE,RED,YELLOW,WHITE,	ORANGE,GREEN,YELLOW,WHITE,ORANGE,RED,ORANGE,GREEN,ORANGE,	WHITE,YELLOW,RED,RED,RED,ORANGE,YELLOW,BLUE,BLUE,	UFBLURRDLDURRRLUFFFBBFFDULRFFBRDUFBDLBUDLRLBLDDBUBLRUD
BLUE,ORANGE,GREEN,YELLOW,YELLOW,WHITE,BLUE,GREEN,WHITE,	GREEN,WHITE,RED,GREEN,WHITE,ORANGE,WHITE,RED,WHITE,	ORANGE,YELLOW,ORANGE,RED,BLUE,BLUE,ORANGE,ORANGE,BLUE,	RED,BLUE,WHITE,GREEN,GREEN,YELLOW,BLUE,YELLOW,RED,	RED,ORANGE,YELLOW,BLUE,ORANGE,WHITE,GREEN,WHITE,YELLOW,	GREEN,BLUE,YELLOW,RED,RED,RED,YELLOW,GREEN,ORANGE,	FLBUUDFBDBFURRRUBLLULRFFLLFBDRBDLDRDRLUFLDBDURFDBBUFUR
WHITE,RED,ORANGE,YELLOW,YELLOW,GREEN,BLUE,GREEN,RED,	BLUE,YELLOW,BLUE,BLUE,WHITE,GREEN,RED,WHITE,YELLOW,	ORANGE,RED,WHITE,WHITE,BLUE,WHITE,ORANGE,BLUE,YELLOW,	GREEN,BLUE,ORANGE,YELLOW,GREEN,ORANGE,RED,GREEN,WHITE,	GREEN,RED,YELLOW,BLUE,ORANGE,ORANGE,BLUE,WHITE,WHITE,	GREEN,ORANGE,YELLOW,RED,RED,ORANGE,RED,YELLOW,GREEN,	DRLUUBFBRBLURRLRUBLRDDFDLFUFUFFDBRDUBRUFLLFDDBFLUBLRBD
